time,lat,lon,altitude,groundspeed,gamma,sigma,airspeed,lift,thrust,command_vel,command_gamma,command_sigma,command_airspeed,command_lift,command_thrust
171.45000000000474,36.17926171810905,-112.28322401527547,8933.905584547232,163.73843006153342,0.07112780945462377,3.2986619909549466,163.73843006153342,79.78622744109029,19.25750292749726,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78703166107483,19.256416461771394
171.50000000000475,36.179239618422294,-112.28322835140811,8934.487399870906,163.7384076879672,0.07112640039254031,3.2986620295519087,163.7384076879672,79.78624777800299,19.257388785432877,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78705112842282,19.25630348479212
171.55000000000476,36.17921751873708,-112.28323268754032,8935.069203620797,163.738385338429,0.07112499284165683,3.2986620680041825,163.73838533842903,79.78626809292658,19.257274765770017,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7870705747305,19.256190628963584
171.60000000000477,36.17919541905343,-112.28323702367209,8935.650995809316,163.73836301289296,0.07112358680035058,3.2986621063123103,163.73836301289296,79.78628838588504,19.257160868377277,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78709000002088,19.256077894155716
171.65000000000478,36.179173319371316,-112.28324135980338,8936.232776448865,163.73834071133322,0.07112218226700058,3.2986621444768325,163.73834071133322,79.78630865690235,19.25704709312339,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78710940431682,19.2559652802386
171.7000000000048,36.17915121969075,-112.28324569593423,8936.814545551835,163.73831843372398,0.07112077923998755,3.2986621824982874,163.73831843372398,79.78632890600244,19.256933439877237,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78712878764127,19.255852787082464
171.7500000000048,36.17912912001173,-112.2832500320646,8937.3963031306,163.73829618003944,0.07111937771769401,3.2986622203772114,163.73829618003944,79.78634913320923,19.256819908507833,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78714815001705,19.255740414557664
171.80000000000481,36.17910702033425,-112.28325436819452,8937.97804919752,163.73827395025384,0.07111797769850417,3.2986622581141387,163.73827395025384,79.7863693385466,19.256706498884338,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78716749146699,19.255628162534688
171.85000000000483,36.17908492065831,-112.28325870432396,8938.559783764944,163.73825174434145,0.07111657918080401,3.2986622957096015,163.73825174434143,79.78638952203843,19.25659321087605,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78718681201394,19.255516030884195
171.90000000000484,36.179062820983916,-112.28326304045292,8939.141506845208,163.7382295622766,0.07111518216298124,3.29866233316413,163.73822956227656,79.78640968370854,19.25648004435242,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78720611168066,19.255404019476952
171.95000000000485,36.17904072131106,-112.2832673765814,8939.723218450632,163.73820740403357,0.0711137866434253,3.2986623704782523,163.73820740403357,79.78642982358073,19.256366999183015,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78722539048992,19.255292128183868
172.00000000000486,36.17901862163974,-112.2832717127094,8940.304918593527,163.73818526958672,0.07111239262052738,3.298662407652495,163.73818526958675,79.7864499416788,19.256254075237564,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78724464846444,19.255180356875993
172.05000000000487,36.17899652196996,-112.28327604883694,8940.886607286186,163.73816315891045,0.07111100009268037,3.2986624446873827,163.73816315891045,79.78647003802648,19.25614127238593,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78726388562697,19.25506870542455
172.10000000000488,36.178974422301714,-112.28328038496396,8941.468284540892,163.73814107197916,0.07110960905827891,3.2986624815834373,163.7381410719792,79.78649011264751,19.256028590498108,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78728310200017,19.254957173700845
172.1500000000049,36.178952322635,-112.28328472109051,8942.049950369914,163.73811900876726,0.07110821951571938,3.298662518341179,163.73811900876726,79.7865101655656,19.255916029444244,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78730229760671,19.254845761576355
172.2000000000049,36.178930222969825,-112.28328905721655,8942.631604785507,163.73809696924923,0.07110683146339988,3.2986625549611266,163.73809696924926,79.78653019680442,19.25580358909462,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78732147246923,19.25473446892271
172.25000000000492,36.17890812330617,-112.28329339334209,8943.213247799915,163.73807495339958,0.07110544489972022,3.298662591443797,163.73807495339958,79.78655020638763,19.255691269319655,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78734062661034,19.254623295611637
172.30000000000493,36.178886023644054,-112.28329772946714,8943.794879425366,163.7380529611928,0.07110405982308192,3.298662627789704,163.7380529611928,79.78657019433884,19.25557906998991,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78735976005261,19.25451224151502
172.35000000000494,36.17886392398346,-112.28330206559167,8944.376499674077,163.73803099260346,0.07110267623188826,3.2986626639993606,163.73803099260346,79.78659016068164,19.255466990976082,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78737887281862,19.254401306504885
