lat,lon,altitude
36.25017640570388,-112.28193362356825,6330.630759175632
36.25023107846091,-112.28192814409672,6323.673734278579
36.25028570275416,-112.28192261263472,6316.731386283679
36.250340278573326,-112.2819170294378,6309.803976997068
36.25039480589247,-112.28191139476431,6302.891759805066
36.25044928467074,-112.28190570887514,6295.994979902256
36.25050371485305,-112.28189997203381,6289.11387451287
36.25055809637068,-112.28189418450624,6282.2486731056815
36.2506124291419,-112.28188834656075,6275.3995976026235
36.25066671307257,-112.2818824584679,6268.566862581342
36.25072094805672,-112.28187652050045,6261.750675471878
36.250775133977136,-112.28187053293325,6254.951236747654
36.250829270705836,-112.28186449604318,6248.168740110969
36.25088335810466,-112.28185841010904,6241.403372673169
36.250937396025755,-112.28185227541144,6234.655315129652
